description,variety,country,price,points
"Full-bodied and broad in the mouth, this Marsanne delivers aromas of singed marshmallow, ripe melon and pear. Flavors follow in a similar vein, adding a bit of citrus on the mouthwatering finish. Drink now.",Rhône-style White Blend,France,30.0,88
"From what may well be the most beautiful vineyard in Italy comes this gorgeous expression of elegance and power. Guardiola is a tiny plot on the slopes of Mount Etna with blackened soils, majestic fruit trees and religious shrines peppered between a jungle of gnarled grapevines. The wine delivers a steady stream of wild berry and mineral nuances, all backed by a firm, drying mouthfeel.",Red Blend,Italy,40.0,94
"Aromas suggesting truffle, crushed herb, prune and pressed blue flower slowly take shape on this elegantly structured red. The bright palate is firm and linear, offering Marasca cherry, cocoa and clove set against fine-grained, polished tannins and fresh acidity.",Red Blend,Italy,26.0,91
"Inox is the winery's unoaked Chardonnay, the first of the vintage. This bottling provides a promising glimpse into the quality of the 2012s. It's so rich and ripe in citrus and tropical fruits, you won't miss the barrel influence. Try now with sushi, tuna tartare, or a salad of bitter greens, tropical fruits and feta cheese.",Chardonnay,US,36.0,90
"Quince and lychee fruit flavors dominate this ripe, off-dry wine. It has a spicy character, allowing for a dry core of pepper while also giving a rich aftertaste. Drink now.",Gewürztraminer,France,24.0,86
"This special selection is already showing some brick around the rim and seems to be aging rapidly. The flavors are mostly herb and root, sassafras and beet root in particular, with the fruit leaning toward Dr. Pepper soda.",Pinot Noir,US,40.0,85
"A dark and dense wine, this offers richness and a good depth of flavor. Along with its concentrated black plum and damson fruits, it is also strongly structured, ripe and dense. It needs aging, so don't drink before 2018.",Bordeaux-style Red Blend,France,33.0,91
"Solid but flat aromas of olive and leafy berry fruits introduce a midland palate of moderate bounce and average body. Raspberry, plum, currant and herbal flavors finish fresh, but also woody and slightly bitter in taste.",Cabernet Sauvignon,Chile,12.0,86
"Aromas of ripe black currant, grilled pepper and cured meat lead the nose. The warm, hefty palate doles out black cherry marinated in spirits, blackberry extract, licorice and black pepper alongside almost scorching alcohol and tightly knit, close-grained tannins. The evident alcohol dominates the finish.",Red Blend,Italy,79.0,87
"This is a fruity wine, packed with red-berry flavors. It is lightly textured and with plenty of acidity to keep it crisp. This wine, from the cru property's fifth generation, is going to mature over the next few months, so drink from mid-2017.",Gamay,France,22.0,87
"Floral soupy plum aromas come with notes of road tar, violet, lavender and grass. This has a jammy, saturated, chunky mouthfeel to go with plum and spiced-berry flavors. Exotic notes of cardamom and clove are key to a spicy finish. This is a blend of Monastrell, Tempranillo and Cabernet Sauvignon.",Red Blend,Spain,19.0,88
"Aged in stainless steel for a fresh, zesty feel, this tangy Ribolla Gialla offers aromas of peach, mature melon and Golden Delicious apple. The wine is smooth and creamy and would make a perfect match to spicy appetizers.",Ribolla Gialla,Italy,20.0,87
"Mature plum, ripe berry, baking spice, underbrush and a balsamic note are some of the aromas you'll find on this full-bodied wine. On the chewy palate, notes of cinnamon, clove and licorice add depth to dried cherry and raspberry. Velvety tannins give it just enough tension and texture. Drink 2018–2024.",Sangiovese,Italy,85.0,93
"Oxidative aromas of macadamia nuts, walnut oil, marzipan and dried lemon are happily cut by a soda character on the nose of this bottling. The palate offers preserved lemons, seared marshmallow and nut oils, proving fairly fat on the sip.",Viognier,US,24.0,87
"Here's a solid wine full of both tannins and dark fruits. New oak barrels give a spicy character while supporting the fruitiness. A blend of 70% Merlot and 30% Cabernet Sauvignon from only 10 acres, it is developing into a rich wine that still needs time. Drink this impressive wine from 2018.",Bordeaux-style Red Blend,France,19.0,89
"This opaque Malbec weighs in heavy, with fully ripe aromas of jammy blackberry, raisin and baking spices. A gigantic palate is packed with lemony acidity and resiny oak. Flavors of blackberry, prune and cassis come with chocolaty richness. The finish is rugged and hard, with massive tannins. Drink through 2022.",Malbec,Argentina,115.0,92
"A good, dry Cabernet whose fruit flavors are balanced with rich tannins. Offers upfront flavors of blackberries, cherries, raspberries and cocoa. Good price, considering the elegance",Cabernet Sauvignon,US,20.0,87
"Big, brawny and not entirely welcoming: this Priorat heavyweight is full of licorice and cool black-fruit and cola aromas. The palate is hard as nails, and only time will tell if it softens and finds a sweeter spot. We think it will; in five years it should trade in the current burnt steak notes and fierce tannins for softer touches and more complex flavors.",Red Blend,Spain,70.0,91
"High alcohol, clocking in at 16.5% by volume, is the overwhelming fact of this Zin. It gives it a jalapeño pepper heat, but also is responsible for the fantastically ripe cherry, raisin and rum punch deliciousness. Partner it with barbecue.",Zinfandel,US,36.0,86
"An amazingly sweet and rich wine, this has a floral aroma and great concentration. It offers layers of flavor like dried fruit, honey and boysenberry syrup, with good acidity for balance. This makes a fabulous dessert by itself and is sweet enough to conquer almost any other confection.",Black Muscat,US,22.0,91
"Refreshingly quaffable, this off-dry Riesling juxtaposes juicy, sweet melon and peach flavors with fresh tangerine acidity. The finish is brisk, fringed with a delicious bristle of lime pith.",Riesling,Germany,6.0,87
"Here's a fruity, soft, flamboyant Cabernet, packed with plum, blackberry, black currant, licorice, dark chocolate and spicy oak flavors. Delicious and savory, it's probably showing its best now, so drink up.",Cabernet Sauvignon,US,45.0,90
"Lively and juicy, this is packed with fresh red cherry fruits, red currants and some wood. It's round, soft, only lightly tannic.",Pinot Noir,France,10.0,84
"Mild, clean and peachy on the nose, with a pinch of sweet banana. It feels chunky but honest, with apple, sweet citrus and peach flavors. The finish is solid; a good wine for under $10.",Chardonnay,Argentina,9.0,85
Scents of green apple and sage float from the glass and carry over to the frothy palate of white peach. Vibrant acidity offsets the rich fruit flavors while a note of candied citrus backs up the finish.,Glera,Italy,20.0,88
"Perfumed and crisp, this is attractive and medium-sweet. It has fine acidity to balance the sweetness and a line of clean acidity that goes with the preserved lemon and tangy aftertaste.",Portuguese Sparkling,Portugal,12.0,87
"Tangent's been on a roll with dry white wines from the cool appellations of San Louis Obispo. Here's a Pinot Blanc that shows real varietal character. It's marked by peach, mango and white pepper flavors boosted by the high natural acidity of its appellation, and is frankly a luscious, absolutely dry wine.",Pinot Blanc,US,17.0,90
"Firm and structured, this is a solid wine, laced with mineral acidity and tight tannins. It has a juicy, blackberry fruit component cutting through the texture. Drink this still young wine from 2014.",Malbec,France,12.0,86
"Simple and light-bodied, this informal wine offers raw, red berry flavors with just a dash of white pepper. Fleeting tannins provide a loose framework.",Nerello Mascalese,Italy,17.0,85
"Made entirely with Cabernet Franc, this displays subtle aromas of cassis and baking spice that carry over to the juicy palate together with bell pepper and vanilla. Round tannins provide the approachable framework. Drink through 2020.",Red Blend,Italy,60.0,88
"A Grenache-based rosé, this features broad aromas of tart red fruits and an edgy, medium-bodied palate.",Rosé,US,18.0,81
"From two of the most coveted sites in the appellation, this wine showcases an elegant ripeness and rapturous relationship to fruit. Dried sage and forest overtones complement concentrated flavors of fig, orange and dried cherry. It offers ample structure and is beautifully put together.",Pinot Noir,US,75.0,94
"This lightly sparkling, terroir-driven wine is loaded with soul and finesse. It's ethereal and bone dry, with delicately alluring aromas and flavors of white spring flower, ripe apple, Bartlett pear, citrus and Alpine herb. Crisp acidity and a silky mousse provide balance and finesse while a mineral note energizes the focused finish. The sediment at the bottom of the bottle adds even more flavor to the last glass.",Glera,Italy,25.0,93
"An attractively round wine that's full both of fruit and acidity. The two complement each other well, highlighting the light apple and white peach fruits. The aftertaste is all about crisp, bright texture.",Pinot Blanc,France,17.0,87
"The cool vintage has given this wine lots of perky acidity and dry tannins as well as an earthy, mushroomy quality to the blackberry and cherry flavors. Probably best enjoyed soon, but give it a decant before serving.",Zinfandel,US,45.0,88
"Interesting to taste Saintsbury's Reserve next to the regular Chardonnay. Both naturally share the same taste and textural characteristics, but this wine is oakier and softer in the mouth, especially in acidity. It lacks the crispness and zest of the regular. Seems a bit heavy and flat, although it's still a nice wine.",Chardonnay,US,35.0,85
"A wine that reveals a textured side of Meursault. It has weight, ripe apricot and pineapple fruit with a refreshing touch of acidity. But the chalky, mineral character equally defines the wine. Age for 3–4 years.",Chardonnay,France,75.0,92
"Medium gold in the glass, this wine has a nose of Valencia orange, pear and kumquat. Flavors of lychee, kumquat and apricot mingle on the palate, remaining strong into the mineral-rich finish.",Furmint,Hungary,25.0,91
"Stylish and fruity, this has red currant crispness and an attractive warm, ripe background. It's balanced and fresh, with intense fruitiness at the end.",Rosé,France,19.0,87
"Rich and chocolaty, this dense and detailed wine is loaded with brambly fruit, ripe cherry and baking chocolate. It's dotted with fine-grained, coffee-streaked tannins, and finishes with highlights of butterscotch and malted milk candies. As with all the 2005 Quilceda's, this is still young and tight. It is dominated by the barrel flavors that only slowly meld into the massive fruit with extensive breathing time (36 hours after being opened the wine was still improving).",Merlot,US,75.0,93
"A wine from a selected parcel of vines; attractive, crisply balanced, the fresh green fruits backed by yeasty toast and a creamy, full texture. There is also a layer of minerality that turns this into a fine food wine.",Melon,France,10.0,89
"Merlot and Cabernet Franc make up the majority of this wine, along with pinches of Petit Verdot and Malbec. It commands attention with aromas of flowers, herbs, freshly tilled soil, cherry, coffee and bittersweet chocolate. The palate is outrageously textured with a hypnotic mouthfeel and a finish that sails into the distance. Far from a blockbuster style, it's all about elegance and detail.",Bordeaux-style Red Blend,US,50.0,93
"Generic plum and berry aromas are borderline volatile and include a forced note of chocolaty oak. This Tempranillo is abrupt and choppy on the palate, with flavors of candied plum and milk chocolate. A chocolaty oak character remains on a blocky finish.",Tempranillo,Spain,10.0,83
"Zin fans should pick up this winery's entire range of small-batch takes on the grape, as they are all fascinating. This one is lighter in color and offers fresh blackberry and chopped black-sage aromas. The palate is very easy to sip, with salt and cherry flavors creating a food-friendly version of an often overpowering grape.",Zinfandel,US,38.0,89
"A crisp bouquet of orange zest marks the opening of this wine, an unexpected twist to the narrative of dried cranberry, blackberry and cloves. On the palate, this full-bodied wine offers ample weight and richness, before a wealth of dry tannins feature on the finish.",Cabernet Sauvignon,US,45.0,92
"Densely delicious, this is earthy in a forest floor kind of way—it's explosive in black cherry, plum and compelling, exotic spice. Medium bodied and lushly layered, it's persistent on the palate, brooding in ripe fruit yet buoyed by ample acidity.",Pinot Noir,US,40.0,94
"This is a closed, smoke-filled wine, and its tannins and toasty wood character currently dominate, which gives it a bitter edge. It has richness, with hints of juicy fruit that sit under the structure. Give it at least six years.",Pinot Noir,France,93.0,92
"Gritty, tarry cassis, licorice and toasted oak flavors lead to a full but grabby palate. This blend of 60% Cabernet Sauvignon and 40% Petit Verdot deals dark, toasty, peppery black-fruit flavors in front of an oaky, spicy finish with firm tannic bite.",Red Blend,Peru,17.0,86
"This is refreshing and quite dry, with fragrant fruit cocktail aromas and subtle, spare flavors that suggest it would be a great oyster wine. Made from 51% Sémillon along with other grapes it's interesting enough to serve during dinner as well as an apéritif.",Sparkling Blend,US,36.0,87
"A blend of Sangiovese, Sagrantino, Merlot and Cabernet, this offers aromas of cherry-berry and dessert spices that carry over to the palate, along with a licorice note. It's ripe and round but also a bit tired, with a drying, tannic finish.",Red Blend,Italy,20.0,86
"Dusty peach and nectarine aromas are subtle and draw you toward a balanced palate with modest weight and natural-feeling acidity. Peach, melon and quince flavors finish firm and elegant. This wine has a French character to it.",Rosado,Argentina,12.0,89
"Exhibits superripe Grenache aromas and flavors of apricots and cherries, all in a midweight format. Some peppery notes chime in on the finish, adding welcome spice to this otherwise soft and fruity wine.",Rhône-style Red Blend,France,9.0,84
"A little heavy and soft, with jelled raspberry, cola and vanilla flavors. The finish turns sugary.",Rosé,US,20.0,83
"Made entirely with Cannonau, this opens with aromas of red berry and Mediterranean brush. The friendly full-bodied palate delivers red cherry, raspberry and white pepper alongside polished tannins. Enjoy through 2020.",Cannonau,Italy,24.0,89
A straightforward wine with light notes of red and blue berries along with oak accents.,Red Blend,US,12.0,84
"Ripe, juicy pear appears as a pristine, expressive flavor on nose and palate. Body and structure are light and just off dry. Drink soon while at its delicious peak.",Pinot Blanc,France,18.0,88
"An inviting mix of rose and nutmeg evolves into tightly woven layers of raspberry and blueberry, with the wine deftly showing its youth and fine-vintage pedigree. Powerful on the palate, it has weight and length, followed by softly lingering allspice.",Pinot Noir,US,50.0,91
"Crunchy fresh notes of red cherry dominate aromatically. The palate is light, juicy, crisp and very refreshing. This is rustic and ready, but also full of charm with its animating red fruit. The finish is dry and invigorating.",Pinot Noir,France,20.0,89
"For this well-made, robust wine, the producer taps into multiple vineyard sources, including William Hill and Monte Rosso. Hung around a focused structure, it offers classic elements of dried herb, clove and graphite, with significant tannin that persists through a lengthy finish of toasty oak.",Cabernet Sauvignon,US,50.0,90
"Girlan is a quality-minded producer from the extreme north of Italy with a beautifully crafted and intense expression of Chardonnay. You'll get aromas of peach blossom, freshly churned butter and almond nut over a smooth and supple mouthfeel.",Chardonnay,Italy,33.0,88
"This is almost entirely Syrah, done in a high-acid, citrusy style. Flavors are sharply etched and tight—pomegranate, raspberry, baking chocolate and espresso. Straightforward and well-balanced despite its 15% alcohol.",Red Blend,US,20.0,87
"Hints of sweet oak meld beautifully with full-fledged fruit aromas and flavors of dark plum and black cherry in this full-bodied wine. It unfolds from a mildly spicy nose to a rich, warm palate sensation and lingering finish. One of several single-vineyard expressions, the Savoy Vineyard is now the FEL estate vineyard.",Pinot Noir,US,70.0,93
"This is a jammy, fruity Valpolicella Classico with strawberry and blackberry aromas followed by coffee and mocha. It shows a soft, mature mouthfeel with some heat on the close.","Corvina, Rondinella, Molinara",Italy,13.0,85
"This is a throwback to those brash, flavor-exuding Aussie wines of the past. Flashy, sweet-scented oak (think maple syrup and toasted coconut) marks the nose, while concentrated cassis and vanilla flavors coat the palate. This is big, but gorgeously so, with velvety-rich tannins and a long, plush finish. No, there's nothing subtle about this blend of 60% Cabernet and 40% Shiraz, but sometimes subtlety is overrated. Drink now–2030.",Red Blend,Australia,95.0,95
"Higher in alcohol than Kenwood's regular '05 Sonoma Zin, this one's hotter and more full-bodied. It's got a density that can stand a little bottle age. Give it two or three years to soften, and let the blackberry, cherry and coffee fruit emerge from the tannins.",Zinfandel,US,20.0,88
"Other than notes of white flowers and green herbs on the nose, this wine is all about canned peas and beans. The palate has texture and flesh, but the flavors are vegetal.",Sauvignon Blanc,Chile,9.0,81
"Dark and minerally, with black fruits, char and power on the nose. The palate is fresh and grippy, with integrated cassis, berry and herb flavors. Dry and lightly herbal on the finish, which is long and solid. A very nice blend of Cabernet Sauvignon, Carmenère, Cab Franc and Petit Verdot.",Red Blend,Chile,12.0,88
"Fans of this sometimes kinky grape variety will probably feel this rating is too low. This wine starts of with hints of Scheurebe's wild side, offering up hints of something resembling Sauvignon Blanc, then adding almost tropical fruit and currant and pink grapefruit flavors tinged with just enough residual sugar for balance. A wild ride, but an enjoyable one.",Scheurebe,Germany,30.0,89
"A rich, Merlot-dominated wine, this is opulent and packed with blackberry fruits. It has a great structure of tannins and ripe fruitiness. Bitter chocolate and coffee flavors give an extra complexity. The wine is still young, still full of juicy fruit. Drink from 2019.",Bordeaux-style Red Blend,France,39.0,92
"Plump apricot, melon and white peach abound are luscious. Yet it's dry in style and bracing too, edged by taut acidity and a steely, mineral edge. Accessible and elegantly balanced, its a four-square wine with excellent value.",Riesling,Germany,20.0,90
"Despite being barrel fermented and matured, this Condrieu retains a remarkable amount of varietal character in its flamboyantly floral and spicy aromas. It's full bodied, broad and richly textured, yet avoids any sense of heaviness, finishing on hints of honey and white pepper. Drink now–2020.",Viognier,France,140.0,94
"This is a serious effort, with concentrated flavors of blackberry and cherry syrup. Syrah sometimes shows a substantial coffee streak, as it does here, along with a vanilla-soaked finish, amplified by aging 18 months in two thirds new French oak.",Syrah,US,65.0,91
"With some richness, red fruits over wood and a full-bodied structure, this is a solid, dense wine. Acidity is present, while the ripe juicy fruits more than balance it. The tannins offer a firm structure and suggest aging.",Pinot Noir,France,34.0,90
"The earthy intensity of herbaceous Sauvignon leaps out of the glass, giving a wine that's concentrated with citrus and green herbs. It's crisp at the end, with a hint of thyme that gives a peppery aftertaste.",Bordeaux-style White Blend,France,18.0,86
"This traditionally-styled wine has nice olive and herb aromas and smoky, dark cherry and bell pepper flavors. It's light-bodied, smooth and easy to sip.",Cabernet Sauvignon,US,12.0,86
"This crowd-pleasing Zin is deeply aromatic, with cedar notes, and boasts a palate that's smooth, leathery and layered with tones of earth and black tea. Fairly priced and with a cleverly designed label, it's a great bottle to take to your next biker party or gathering for the Day of the Dead.",Zinfandel,US,25.0,87
"Brisk freshness characterizes this Pinot from Richard Sanford, a pioneer in the region. The wine presents violet and elderberry on the nose and is soft yet extra-expressive once sipped, with mocha, strawberry, black tea, and, on the edges, a grapefruit peel bitterness.",Pinot Noir,US,50.0,92
"This comes from a producer based in the Marne Valley, so it is not unusual to find a 100% Pinot Meunier wine. It gives great fruitiness, apples and crisp pears as well as bright, ready-to-drink acidity.",Pinot Meunier,France,53.0,88
The wine has 12 months of aging to give it extra richness and a ripe full texture. It does have firm tannins although these are already embedded in the rich black fruits. The Douro minerality shows through the texture and acidity at the end. This wine deserves some aging: drink from 2019.,Portuguese Red,Portugal,29.0,91
"This opens with hushed scents of dark berry, baking spice and a whisper of violet while the firm palate offers black cherry, black pepper and a cocoa note. Astringent tannins lead up to the rather abrupt finish.",Lagrein,Italy,20.0,87
"Vines planted on gravel soil line a terrace above the Cher river. This wine with an intensely herbal character is fresh, crisp and packed with fruit. It has some weight, along with a great lift from the aromatic aftertaste. The wine can be drunk now, although it will be better from 2017.",Sauvignon Blanc,France,18.0,88
"Straightforward in style, this is a nice wine for drinking now. Dry and tannic, it shows blackberry jam, tea, mocha and new oak flavors.",Cabernet Franc,US,35.0,86
"Citrus-driven on the nose, this stainless Chard brings green apple and tangy peach to the palate. A cheese-rind character lingers on the finish.",Chardonnay,US,20.0,84
"This unique old vine Chardonnay vineyard makes cool-climate grape flavors as interesting and complex as any fruit bomb. Spring herb, light floral, citrus and grapefruit combine in a delicate, elegant wine. It's Chablis without the chalk; plenty of acid.",Chardonnay,US,20.0,88
"There's a smoky, meaty quality here with mature fruit, cola, mesquite and cured meat nuances in the background. La Colombina boasts impressive intensity and lingering spice flavors.",Sangiovese Grosso,Italy,42.0,91
"Spicy, dry aromas of earth, red currant and black olive offer some complexity and style. This is full bodied, racy and loaded with black cherry, cassis and peppery spice flavors. A touch of heat and menthol adds jolt to the finish.",Cabernet Sauvignon,Argentina,16.0,88
"Windthrow is a southern Rhône-style blend consisting of 55% Syrah, 22% Mourvèdre and a mix of Grenache, Counoise, Cinsault and Viognier. There's a whiff of truffle and pine resin, along with tart red fruits and supporting acidity. It's balanced and moderately long.",Rhône-style Red Blend,US,50.0,88
"Made from the two Cabs plus Syrah, this bottling shows its typicity in the rustic mouthfeel and exuberant berry, spice and cocoa flavors. It's a dry, lusty red that will happily wash down savory stews and roasts.",Red Blend,US,42.0,86
"Quite yellow in color, this wine opts for a deeper rather than fresher style of the grape, offering aromas of iodine, orange extract and concentrated apples. The palate presents dried-apple flavors.",Sauvignon Blanc,US,25.0,86
"This informal, slightly sweet sparkler offers yellow pear, glazed almond and candied-citrus flavors. Vigorous bubbles and brisk acidity make up the bracing backdrop.",Glera,Italy,18.0,84
"Opens with earth, lemon peel and lightly baked plum aromas. Feels easy and plump, with a good mouthfeel and proper acidity. Shows creamy oak flavors along with rooty berry, toast and milk chocolate. Turns more spicy and dusty on the finish.",Tempranillo,Spain,18.0,87
"A rich, thick, inky purple Petite Sirah with a small amount of Syrah blended in, offering aromas of baked plum, boysenberry and leathery spice. Elegant for the variety, the wine is concentrated and structured with a long finish of dark coffee.",Petite Sirah,US,30.0,88
"Consistent with previous releases, the Impervious is dark, dense and heavily extracted. Here the dominant grape is Cabernet Sauvignon—about 60%—and the fruit runs through very ripe raisins, figs and plums. It plays out broadly across the palate, full and generously oaky, with vivid streaks of balsamic and toffee. Drink soon.",Red Blend,US,25.0,88
"This lush and aromatic wine has beautiful rose-petal aromas and vibrant grapefruit flavors that spread across the palate and linger nicely on the finish. Rather full bodied, it is rich enough to serve with strong cheeses and roasted birds.",Gewürztraminer,US,20.0,90
"Nicely textured strawberry fruit is featured here. It drinks almost like an especially rich rosé, fresh and simple, in a good way. There's a dash of bitter green in the finishing tannins.",Pinot Noir,US,26.0,88
"Mouthfilling and supple, this is a top-notch example of Barossa Shiraz. Despite the soft tannins, the fruit is bright and lively, with tart red plum and raspberry notes at the core, surrounded by hints of vanilla and mint. Long and vibrant on the finish, this is drinkable already, but should age well through at least 2025.",Shiraz,Australia,122.0,93
"Delicately structured, this Chardonnay has simple citrus peach flavors, with an undertow of green herbs. It's dry and tart with acidity.",Chardonnay,US,17.0,83
"This unique Syrah vineyard is located at the northwestern edge of the Columbia Valley AVA. Exotic, silky and compelling, the aromas and flavors combine gorgeously sleek berry fruit flavors with a foundation of liquid rock (hence the vineyard name). Supple, authoritative and long, it gathers both strength and subtlety as it breathes.",Syrah,US,42.0,95
"While juicy and ripe with red fruit, this Zin lays a little flat on the palate. A handful of Sangiovese is blended in.",Zinfandel,US,15.0,82
"Sonorous and rounded notions of ripe pear pervade nose and palate. This richness is countered by lovely, fresh and bright acidity, with peppery spice around the edges. This finishes with a pleasant, clean, warm glow.",Pinot Gris,France,26.0,90
"Chocolate and raspberry join forces in this jammy, soft and round wine that's sizable yet approachable. This is a good go-to for midweek meals and parties, with a medium body and respectable finish that will pair with a wide range of foods.",Merlot,US,19.0,87
"Made entirely with Sangiovese, this highlights earthy aromas of leafy underbrush, tilled soil and dark berry. The savory palate offers black cherry, nectarine zest, clove and a hint of Mediterranean herb alongside assertive tannins.",Sangiovese,Italy,16.0,88
"This is a smooth, wood-aged wine that's full of berry fruits and rich tannins. The wine is dark and concentrated, with a medicinal hint and a juicy element to go with the powerful structure. This should age for 4–5 years and more. Screwcap.",Blaufränkisch,Austria,43.0,92
"Slightly reductive in style, this wine shows aromas of lime skins and Brie-cheese rind before opening a bit toward lemon blossoms and raw cashews. The palate possesses a stunningly grippy and chalky texture, with sharp flavors of Key-lime rind and pomelo pith.",Chardonnay,US,25.0,92
"Named for the number of months it takes to go from grape to glass, Brut 25 is a steely, tonic wine, with bright aromas of citrus, pear and peach.",Chardonnay,Italy,29.0,88
"While barrel-influenced and full-bodied, this unctuous wine remains crisp in edgy acidity, with lean flavors of lemon and grapefruit amidst a deeper, richer background of oak and caramel.",Sauvignon Blanc,US,28.0,90
"Only recently disgorged in July 2017, this bottling is still young. It is structured with a hint of tannin as well as a steely tight texture. It is going to develop into a fine wine, rich and with a blend of apple and ripe pear flavors. Drink this bottling from late 2018.",Pinot Noir,France,50.0,90
"Light in style, this is a pleasant, varietally correct wine with notes of violets, game and lemon playing off a soft, rounded mouthfeel and grainy tannins.",Syrah,US,14.0,86
"With 62 acres of vines, this estate, which was created by the monks of Cluny, is one of the largest in the Mâcon region. This soft and fruity wine is immediately attractive. Apricot fruits are freshened by green plum and lemon. It is light and ready to drink now.",Chardonnay,France,18.0,87
"Charred earth, underbrush, cured meat and toasted hazelnut aromas lift out of the glass. The robust palate is almost overripe, offering dried black cherry, grilled sage, tobacco and a hint of game alongside tightly packed tannins that clench the finish. Drink 2019–2025.",Sangiovese,Italy,65.0,89
"Sweet, soft and simple, with blackberry jam, sugared berry tea, carob and spice flavors wrapped into firm tannins. Drink now.",Zinfandel,US,25.0,83
"As soft and smooth as velvet, with superripe flavors of chocolate, blackberry and cherry pie filling, currants, cassis and sweetly toasted oak. A best blend of vineyards available to the winery, this Cab was aged in 100% new French oak. The alcohol level is high, leading to questions of ageability.",Cabernet Sauvignon,US,115.0,90
"A playful hint of porcino mushroom and earth peeks though aromas of spice, bramble and green spinach leaf. This is a distinctive wine (in gorgeous packaging) that represents a traditional style of Aglianico del Vulture. It tastes raw, gritty and firm in the mouth.",Aglianico,Italy,42.0,88
"Grapy aromas of plum and pomegranate turn more wild with airing. Grabby, tannic and punchy across the palate, this wine tastes of herbal berry fruits, with a firm finish.",Garnacha,Spain,13.0,85
"A blend of 58% Cabernet Sauvignon, 31% Cabernet Franc and 11% Petit Verdot, this wine combines them all to herbaceous, slightly green and puckering effect, the oak overwhelmingly audacious.",Red Blend,US,50.0,83
"Berry aromas are a touch dusty and floral on the nose, with hints of earth and cedar. On the palate, this wine is bright and balanced, with fresh acidity. Rich berry, cassis and spice flavors finish agile and long. Drink through 2016.",Syrah,Chile,20.0,91
"Subtle aromatics ride a steely frame of straightforward acidity and subtle oak, the wine medium in build and layers. It finishes in a flourish of salty brine.",Chardonnay,US,20.0,87
"A big, ripe earthy wine, layered with tannins and dark black fruits. It has density and concentration, while keeping a sense of freshness and balance. A powerful and impressive wine that will age well.",Portuguese Red,Portugal,30.0,92
"As is often the case, a poor red wine vintage in Bordeaux is a good year for sweet wines. This unctuous wine, still young and dominated by 95% Sémillon, is beautifully balanced. Its honey and botrytis flavors give it a dry edge that comfortably contrasts with the opulent sweetness. The acidity, a source of freshness, gives the wine the lift it needs. Drink this serious and major wine from 2023.",Bordeaux-style White Blend,France,45.0,95
"With 14 months in new oak and a whopping 16% alcohol, you might think this wine is going to be too big and over the top, but while it's ripe and rich it's also well made and balanced. Berry preserves mixed with fennel seeds and coffee grinds dominate the profile, with a solid black pepper kick to keep things lively on the lengthy finish.",Pinotage,South Africa,39.0,89
"This maverick wine looks cloudy and orange in hue and offers citrus zest and peach skin aromas. That's because it was fermented with the grape skins, like a red wine. A plethora of flavors comes through on the palate, from peach and almond to jasmine and prosciutto, and it has a mouthfilling texture. Know that it's not a mainstream wine but enjoy it anyway.",Sauvignon Blanc,US,32.0,89
"Chunky, flat and stemmy on the nose, with herbal, generic fruit aromas. The palate is o.k. but sort of scratchy, while the flavors veer toward herbal, roasted cherry and berry. Herbal and sort of sweet and heavy on the finish. Pretty much what you'd expect for a $10 Cab.",Cabernet Sauvignon,Argentina,10.0,83
"Duval used to make Grange, so it is no surprise that his current luxury Shiraz is so successful. The 2008 Eligo oozes with oaky sweetness—vanilla, maple syrup and brown sugar notes—but balances that with potent cassis fruit and somehow ends on dry, savory notes of tobacco and spice. Drink now-2018, although it could surprise and go longer.",Shiraz,Australia,100.0,94
"Made from Clarksburg grapes, a small appellation near Lodi, this soft Merlot tastes a touch metallic and its blackberry and cherry notes finish a tad bitter.",Merlot,US,11.0,84
"Peach and melon aromas are appealing. As Godello tends to be, this is round in feel, with medium body weight. Flavors of orange and lime are bright and forward, with a hint of leesy yeast to the finish.",Godello,Spain,18.0,89
"Fine acidity on this crisp, raspberry-flavored wine. With an extra year aging it demands to be drunk, offering a pleasurable food-friendly style.",Rosé,Portugal,25.0,85
"Fresh and light with ripe fruit notes of red apple and apricot spiced with hints of white florals and lime zest. The medium weight mouth is juicy and clean, the ripe stone fruit flavors carrying through to the close. Drink now.",Viognier,South Africa,20.0,86
"This is half Syrah (from Chandler Reach) and half Cabernet Sauvignon (from Stillwater Creek), aged in 100% new French oak. The plush fruits are ripe and well-matched, and there are nuanced highlights of herb, leaf, bark and beet root. The tannins are tight and stiff, so some extra breathing time is a good idea.",Syrah-Cabernet Sauvignon,US,45.0,88
"Toasted sandalwood, hints of sagebrush, crushed pencils, tart cranberry and vanilla brioche show on the nose of this bottling. The tannic structure is light but shows structure and tension, with rich flavors of cherry, cola, vanilla and clove.",Pinot Noir,US,40.0,93
"This is an interesting and useful wine, and the price helps make it a bargain. It's pretty close, in texture and flavor, to Pinot Noir, with silky tannins, brisk acids and cherry, cola and cranberry flavors.",Valdiguié,US,10.0,86
"Smoky in leathery barrel flavor, this soft Cabernet Franc comes with layers of herb and red currant that are modest in alcohol and tannins. Those flavors will be piqued when paired with chicken pot pie or a pizza topped in bell pepper and olive.",Cabernet Franc,US,88.0,86
"Aromas of wood shop and anisette dominate the nose. The palate is evolved, offering prune, pomegranate, vanilla, oak extract and roasted coffee bean but no fruit richness.",Red Blend,Italy,40.0,86
